Customer ID,Age,Annual Income,Spending Score
1001,19,94,99
1002,43,88,82
1003,34,96,85
1004,57,105,70
1005,50,87,79
1006,26,87,86
1007,60,105,73
1008,65,97,88
1009,56,85,78
1010,46,95,82
1011,59,85,78
1012,43,85,100
1013,52,92,84
1014,67,70,74
1015,42,72,93
1016,41,84,72
1017,30,79,87
1018,24,93,65
1019,53,80,71
1020,62,75,86
1021,37,97,15
1022,18,91,18
1023,25,88,8
1024,63,86,8
1025,33,75,28
1026,31,82,33
1027,29,85,19
1028,68,100,30
1029,40,93,23
1030,32,72,13
1031,45,93,23
1032,51,86,35
1033,19,83,19
1034,49,96,35
1035,40,100,1
1036,39,99,28
1037,68,81,20
1038,42,86,17
1039,39,93,20
1040,39,99,1
1041,66,27,65
1042,69,33,75
1043,59,44,76
1044,23,24,71
1045,32,21,78
1046,60,24,84
1047,54,39,98
1048,50,33,81
1049,25,24,82
1050,61,35,79
1051,61,30,60
1052,22,39,79
1053,56,22,80
1054,21,26,100
1055,23,26,78
1056,62,15,83
1057,49,32,79
1058,69,32,68
1059,47,30,91
1060,64,27,87
1061,52,37,22
1062,57,20,33
1063,69,44,3
1064,33,15,21
1065,30,35,22
1066,67,51,27
1067,59,20,7
1068,47,24,6
1069,36,30,25
1070,34,24,22
1071,36,15,22
1072,45,30,23
1073,43,19,13
1074,54,34,22
1075,43,20,22
1076,40,45,12
1077,26,22,38
1078,29,26,24
1079,18,38,8
1080,18,17,26
1081,64,50,56
1082,51,67,41
1083,49,71,39
1084,65,51,54
1085,42,69,47
1086,57,64,57
1087,62,68,54
1088,18,78,49
1089,33,57,41
1090,56,52,34
1091,22,51,45
1092,39,51,58
1093,46,59,52
1094,20,63,37
1095,29,62,51
1096,43,68,53
1097,33,60,41
1098,68,74,51
1099,54,57,50
1100,39,87,38
