Date,Monthly Revenue
2022-01-31,51490.14
2022-02-28,57085.21
2022-03-31,65335.37
2022-04-30,71069.09
2022-05-31,65689.84
2022-06-30,62797.59
2022-07-31,63737.64
2022-08-31,56802.3
2022-09-30,50199.27
2022-10-31,53127.68
2022-11-30,53217.44
2022-12-31,59102.81
2023-01-31,68725.89
2023-02-28,69760.16
2023-03-31,76217.55
2023-04-30,82813.14
2023-05-31,81353.81
2023-06-30,82442.74
2023-07-31,74275.93
2023-08-31,68263.09
2023-09-30,74004.64
2023-10-31,68822.67
2023-11-30,72810.28
2023-12-31,74225.76
2024-01-31,84366.85
2024-02-29,93832.77
2024-03-31,95939.32
2024-04-30,103627.09
2024-05-31,100590.39
2024-06-30,98624.92
2024-07-31,93194.88
2024-08-31,96056.83
2024-09-30,87567.2
2024-10-31,84326.87
2024-11-30,93075.33
2024-12-31,92837.47
2025-01-31,104626.59
2025-02-28,105620.99
2025-03-31,113407.75
2025-04-30,121090.58
2025-05-31,122607.7
2025-06-30,118014.1
2025-07-31,112653.06
2025-08-31,107596.69
2025-09-30,101172.13
2025-10-31,103340.47
2025-11-30,107225.78
2025-12-31,117671.37
2026-01-31,123030.85
2026-02-28,124210.88
2026-03-31,136364.56
2026-04-30,137344.75
2026-05-31,136361.54
2026-06-30,137335.03
2026-07-31,134093.0
